PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066595,Prevalence of malnutrition in patients with Alzheimer's disease - A systematic review. The call for consistent nutritional assessment methods.,2025,N/A,N/A,N/A
40066331,Ginsenoside Ro ameliorates cognitive impairment and neuroinflammation in APP/PS1 mice via the IBA1/GFAP-MAPK signaling pathway.,2025,N/A,N/A,N/A
40066297,Dual orexin receptor antagonists as promising therapeutics for Alzheimer's disease.,2025,N/A,N/A,N/A
40065918,Perspective: Minimal clinically important difference (MCID) and Alzheimer's disease clinical trials.,2025,N/A,N/A,N/A
40065917,Broad repetitive transcranial magnetic stimulation (rTMS) of the precuneus in Alzheimer's disease: A rationale and study design.,2025,N/A,N/A,N/A
40065483,Understanding Music Participation for Adults With Down Syndrome.,2025,N/A,N/A,N/A
40065171,Allogeneic mesenchymal stem cell therapy with laromestrocel in mild Alzheimer's disease: a randomized controlled phase 2a trial.,2025,N/A,N/A,N/A
40064964,Exploring a patient-specific in vitro pipeline for stratification and drug response prediction of microglia-based therapeutics.,2025,N/A,N/A,N/A
40064874,Berberine-inspired ionizable lipid for self-structure stabilization and brain targeting delivery of nucleic acid therapeutics.,2025,N/A,N/A,N/A
40064805,Insulin resistance in Alzheimer's disease: signalling mechanisms and therapeutics strategies.,2025,N/A,N/A,N/A
