PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066547,Immune-Related Adverse Event of Immunotherapy: Diabetes.,2025,N/A,N/A,N/A
40066520,Awareness and perceived risk of type 2 diabetes among older adults with HIV: results from a qualitative study.,2025,N/A,N/A,N/A
40066484,Co-Delivery of Morphologically Switchable Au Nanowire and Hemoglobin-Resveratrol Nanoparticles in the Microneedle for Diabetic Wound Healing Therapy.,2025,N/A,N/A,N/A
40066448,BLIMP-1-dependent differentiation of T follicular helper cells into Foxp3,2025,N/A,N/A,N/A
40066386,Allergen Immunotherapy in Autoimmune Terrain: A Case Study.,2025,N/A,N/A,N/A
40066378,Atypical Presentation of Skull Base Osteomyelitis Involving the Stylomastoid Foramen-A Case Report.,2025,N/A,N/A,N/A
40066374,Bioactive and degradable collagen-based three-dimensional scaffold encapsulated with adipose mesenchymal stem cells-derived exosomes improved diabetic wound healing.,2025,N/A,N/A,N/A
40066372,Application of Ultrasound Localization Microscopy in Evaluating the Type 2 Diabetes Progression.,2025,N/A,N/A,N/A
40066317,Etiologies of exocrine pancreatic insufficiency.,2025,N/A,N/A,N/A
40066291,Asiaticoside-nitric oxide synergistically accelerate diabetic wound healing by regulating key metabolites and SRC/STAT3 signaling.,2025,N/A,N/A,N/A
